Arquitetura;Precisão numérica;Acurácia Teste;Precisão Teste;Recall Teste;F1 Score Teste;Tempo Teste;Consumo Energia Teste;Emissões Teste
VGG;FP32;0,8597;0,859914384;0,8597;0,859751608;1,763478;14941,52;0,000008903
VGG;FP32;0,8588;0,859294911;0,8588;0,85892505;1,761857;14676,295;0,000008217
VGG;FP32;0,8598;0,859869037;0,8598;0,859738672;1,752701;16243,351;0,000007135
VGG;FP32;0,8636;0,864069739;0,8636;0,863685339;1,765425;15187,148;0,000008668
VGG;FP32;0,8589;0,859314398;0,8589;0,859017719;1,752517;15334,877;0,000009795
VGG;FP16;0,8619;0,862228316;0,8619;0,862015707;1,511362;13274,8;0,000006485
VGG;FP16;0,8642;0,864304876;0,8642;0,864188208;1,514874;12429,244;0,000006823
VGG;FP16;0,8589;0,859207314;0,8589;0,85896708;1,512118;11823,997;0,000006235
VGG;FP16;0,8608;0,861004715;0,8608;0,860838189;1,524363;11777,266;0,000006858
VGG;FP16;0,8607;0,860903208;0,8607;0,86073678;1,521938;13187,002;0,000006588
VGG;FP16;0,861;0,861167637;0,861;0,861036098;1,518108;11494,942;0,000009107
VGG;FP16;0,8628;0,862892205;0,8628;0,862788008;1,510991;12435,713;0,000009527
VGG;FP16;0,8628;0,862856001;0,8628;0,862752988;1,513794;12091,641;0,000008747
VGG;FP16;0,8618;0,862104719;0,8618;0,861833718;1,504301;12684,564;0,000009122
VGG;FP16;0,8618;0,861966079;0,8618;0,861817556;1,503927;11489,59;0,000009577
ResNet;FP32;0,8726;0,872377635;0,8726;0,87236485;5,861732;22658,506;0,000023671
ResNet;FP32;0,8676;0,867417406;0,8676;0,867348635;5,834372;22324,572;0,00003385
ResNet;FP32;0,8707;0,870545944;0,8707;0,870546033;5,836842;22564,335;0,000031152
ResNet;FP32;0,8706;0,870229456;0,8706;0,870310758;5,830151;22369,94;0,000030233
ResNet;FP32;0,8713;0,870996744;0,8713;0,871038574;5,845915;22097,644;0,000025089
ResNet;FP32;0,8708;0,870634361;0,8708;0,870609845;5,841246;22359,349;0,000033776
ResNet;FP32;0,8721;0,871889695;0,8721;0,871900227;5,858575;22061,627;0,000028178
ResNet;FP32;0,8697;0,869551872;0,8697;0,869508837;5,843636;22558,84;0,00002872
ResNet;FP32;0,871;0,870799113;0,871;0,870812384;5,828957;22154,917;0,000034034
ResNet;FP32;0,8701;0,869995101;0,8701;0,869921098;5,83815;22405,922;0,000030455
ResNet;FP16;0,8623;0,862613807;0,8623;0,862371845;3,806993;20383,644;0,000016609
ResNet;FP16;0,8627;0,86299804;0,8627;0,862768334;3,817571;20291,757;0,000023676
ResNet;FP16;0,8636;0,863949518;0,8636;0,863698161;3,811541;20059,484;0,000021517
ResNet;FP16;0,8621;0,862756644;0,8621;0,862294253;3,820229;19880,524;0,00001921
ResNet;FP16;0,8642;0,864775747;0,8642;0,864361917;3,808327;20274,271;0,000021807
ResNet;FP16;0,863;0,863429762;0,863;0,863086745;3,812963;20098,675;0,000023381
ResNet;FP16;0,8643;0,864689409;0,8643;0,864399469;3,805307;20237,62;0,000017387
ResNet;FP16;0,8634;0,863827198;0,8634;0,863531291;3,807365;20703,764;0,000013859
ResNet;FP16;0,8651;0,865635803;0,8651;0,86530254;3,830242;20250,215;0,000022193
ResNet;FP16;0,8634;0,86415676;0,8634;0,863673251;3,823882;20271,021;0,000020912
