Arquitetura;Precisão;duration;emissions;carbono_g;emissions_rate;cpu_power;gpu_power;ram_power;cpu_energy;gpu_energy;ram_energy;energy_consumed;consumo_energia_wh;energia_W
AlexNet;FP16;1,37347648;0,00000749;0,00749000;0,00000545;38,28228677;155,74200130;5,74027634;0,00001460;0,00005940;0,00000219;0,00007610;0,07610000;0,00002903
AlexNet;FP16;1,37908555;0,00000578;0,00578000;0,00000419;37,24889553;110,64039770;5,74027634;0,00001420;0,00004230;0,00000220;0,00005880;0,05880000;0,00002253
AlexNet;FP16;1,37166818;0,00000619;0,00619000;0,00000451;38,43786552;121,47414940;5,74027634;0,00001460;0,00004620;0,00000218;0,00006300;0,06300000;0,00002400
AlexNet;FP16;1,38443412;0,00000788;0,00788000;0,00000569;37,59921378;165,34234760;5,74027634;0,00001440;0,00006350;0,00000220;0,00008020;0,08020000;0,00003084
AlexNet;FP16;1,37465973;0,00000719;0,00719000;0,00000523;37,89374810;147,97453070;5,74027634;0,00001450;0,00005650;0,00000219;0,00007310;0,07310000;0,00002791
AlexNet;FP16;1,36562206;0,00000668;0,00668000;0,00000489;38,14432660;135,39304710;5,74027634;0,00001440;0,00005130;0,00000217;0,00006790;0,06790000;0,00002576
AlexNet;FP16;1,36461933;0,00000592;0,00592000;0,00000434;38,14654714;115,11401390;5,74027634;0,00001440;0,00004360;0,00000217;0,00006020;0,06020000;0,00002282
AlexNet;FP16;1,39534605;0,00000758;0,00758000;0,00000543;33,03510812;160,58536020;5,74027634;0,00001280;0,00006210;0,00000222;0,00007700;0,07700000;0,00002984
GoogLeNet;FP32;1,68051837;0,00000871;0,00871000;0,00000518;35,11967492;149,04845080;5,74027634;0,00001640;0,00006950;0,00000268;0,00008850;0,08850000;0,00004131
GoogLeNet;FP32;1,66596458;0,00000839;0,00839000;0,00000504;37,29369329;141,57099890;5,74027634;0,00001720;0,00006540;0,00000265;0,00008530;0,08530000;0,00003947
GoogLeNet;FP32;1,67724091;0,00000688;0,00688000;0,00000410;34,82555458;109,83308790;5,74027634;0,00001620;0,00005110;0,00000267;0,00006990;0,06990000;0,00003257
GoogLeNet;FP32;1,64739721;0,00000914;0,00914000;0,00000555;36,61181957;160,86001770;5,74027634;0,00001670;0,00007350;0,00000262;0,00009290;0,09290000;0,00004251
GoogLeNet;FP32;1,65053724;0,00000923;0,00923000;0,00000559;37,01942856;162,02220720;5,74027634;0,00001700;0,00007420;0,00000263;0,00009380;0,09380000;0,00004301
GoogLeNet;FP32;1,65730075;0,00000811;0,00811000;0,00000490;35,56947237;138,07683490;5,74027634;0,00001640;0,00006350;0,00000264;0,00008250;0,08250000;0,00003798
GoogLeNet;FP32;1,64637295;0,00000831;0,00831000;0,00000505;36,11073286;143,20027410;5,74027634;0,00001650;0,00006540;0,00000262;0,00008450;0,08450000;0,00003864
GoogLeNet;FP32;1,66951647;0,00000951;0,00951000;0,00000569;35,80860585;167,56351790;5,74027634;0,00001660;0,00007750;0,00000265;0,00009670;0,09670000;0,00004485
GoogLeNet;FP32;1,65343517;0,00000826;0,00826000;0,00000499;36,89790009;140,40708460;5,74027634;0,00001690;0,00006440;0,00000263;0,00008400;0,08400000;0,00003858
GoogLeNet;FP32;1,65458234;0,00000955;0,00955000;0,00000577;36,63446794;169,43392290;5,74027634;0,00001680;0,00007770;0,00000263;0,00009710;0,09710000;0,00004463
GoogLeNet;FP16;1,11043464;0,00000730;0,00730000;0,00000657;39,46842632;195,96962060;5,74027634;0,00001210;0,00006030;0,00000177;0,00007420;0,07420000;0,00002289
GoogLeNet;FP16;1,10790613;0,00000657;0,00657000;0,00000593;40,96858922;170,94425450;5,74027634;0,00001260;0,00005250;0,00000176;0,00006680;0,06680000;0,00002056
GoogLeNet;FP16;1,11823637;0,00000810;0,00810000;0,00000725;40,67265768;219,40848130;5,74027634;0,00001260;0,00006800;0,00000178;0,00008240;0,08240000;0,00002560
GoogLeNet;FP16;1,11944764;0,00000778;0,00778000;0,00000695;39,16684795;210,67814300;5,74027634;0,00001210;0,00006520;0,00000178;0,00007910;0,07910000;0,00002460
GoogLeNet;FP16;1,11155815;0,00000592;0,00592000;0,00000532;40,84998165;149,05852940;5,74027634;0,00001260;0,00004580;0,00000176;0,00006020;0,06020000;0,00001859
