Arquitetura;Precisão;duration;carbono_g;emissions;emissions_rate;cpu_power;gpu_power;cpu_energy;gpu_energy;ram_energy;energy_consumed;energia_consumida_wh;energia_W
AlexNet;FP16;2013,14951;9,405597;0,009405597;4,67E-06;25,60862655;163,9924519;0,014024767;0,078402066;0,003209043;0,095635876;95,635876;53,48036581
AlexNet;FP16;2013,419644;9,434533;0,009434533;4,69E-06;25,56213856;181,0787548;0,014005549;0,078715021;0,003209522;0,095930092;95,930092;53,65209213
GoogLeNet;FP32;981,8996804;5,006132;0,005006132;5,10E-06;32,78626548;129,6718743;0,008818531;0,040518475;0,001565222;0,050902228;50,902228;13,88357817
GoogLeNet;FP32;986,5645514;4,838271;0,004838271;4,90E-06;25,0445593;170,3328151;0,006874243;0,040748508;0,00157267;0,049195421;49,195421;13,48179401
GoogLeNet;FP32;986,7414982;4,856727;0,004856727;4,92E-06;25,26610665;114,057626;0,007039193;0,04077091;0,001572977;0,04938308;49,38308;13,53564843
GoogLeNet;FP32;989,7647594;4,887137;0,004887137;4,94E-06;25,1341258;134,4566208;0,006925834;0,041188668;0,001577781;0,049692282;49,692282;13,66213043
GoogLeNet;FP32;986,8421136;4,803116;0,004803116;4,87E-06;25,06373255;122,8935883;0,006869174;0,040395698;0,001573087;0,048837959;48,837959;13,38759852
GoogLeNet;FP32;985,9327212;4,802218;0,004802218;4,87E-06;25,12613063;193,0389251;0,006879213;0,040377967;0,001571657;0,048828837;48,828837;13,37276337
GoogLeNet;FP32;987,3458634;4,822473;0,004822473;4,88E-06;25,15274717;107,6573403;0,006909068;0,040551767;0,001573952;0,049034786;49,034786;13,44841476
GoogLeNet;FP32;986,764268;4,835146;0,004835146;4,90E-06;25,19278694;137,804001;0,006909575;0,040681049;0,001573021;0,049163645;49,163645;13,47581338
GoogLeNet;FP32;986,9538577;4,738896;0,004738896;4,80E-06;25,08275967;196,0181729;0,006869258;0,039742421;0,001573297;0,048184976;48,184976;13,21009665
GoogLeNet;FP32;986,5785257;4,805556;0,004805556;4,87E-06;25,0807389;132,9984241;0,006885814;0,04040427;0,001572685;0,048862768;48,862768;13,39082156
GoogLeNet;FP16;614,5593874;3,42555;0,00342555;5,57E-06;25,23179467;185,4835722;0,004822425;0,029028792;0,00097969;0,034830907;34,830907;5,946016908
GoogLeNet;FP16;618,7662207;2,706998;0,002706998;4,37E-06;25,39348881;157,6223857;0,004336964;0,022201354;0,000986367;0,027524684;27,524684;4,730929082
GoogLeNet;FP16;618,4500561;3,664637;0,003664637;5,93E-06;25,28721754;199,2269821;0,004322565;0,031953493;0,000985879;0,037261937;37,261937;6,401290841
GoogLeNet;FP16;617,9478721;3,223628;0,003223628;5,22E-06;25,11752722;168,1700464;0,004318662;0,027474027;0,000985076;0,032777765;32,777765;5,626375037
