Teste,Emissões de CO2 (kg)
1,1.6608511893678637e-05
2,2.3675626724285603e-05
3,2.151687284940842e-05
4,1.9209939614101293e-05
5,2.1806833859851025e-05
6,2.338105574702277e-05
7,1.738738379657425e-05
8,1.3858985280927314e-05
9,2.2192687679136587e-05
10,2.0911733785899e-05
