Teste,Emissões de CO2 (kg)
1,7.296993097570205e-06
2,8.104897329084134e-06
3,7.7796186655475e-06
4,5.916278598729878e-06
5,8.277824500836937e-06
6,4.891264129113418e-06
7,7.319958617892211e-06
8,5.592006784837784e-06
9,5.790976070252293e-06
10,6.570391022724201e-06
