Teste,Emissões de CO2 (kg)
1,6.763723973751347e-06
2,7.360562595795196e-06
3,7.1932977649127756e-06
4,6.724149140754144e-06
5,8.086034160870852e-06
6,7.922454424263465e-06
7,6.251134635389879e-06
8,6.721462670257574e-06
9,8.494844748718803e-06
10,6.9505095780900375e-06
