Teste,Emissões de CO2 (kg)
1,6.484881481867162e-06
2,6.823270169449448e-06
3,6.235451651357293e-06
4,6.858055887295035e-06
5,6.5881213714394985e-06
6,9.107381852804687e-06
7,9.526656910308715e-06
8,8.747453505476512e-06
9,9.121801190633405e-06
10,9.576686934723059e-06
