Teste,Emissões de CO2 (kg)
1,4.04606405586392e-06
2,4.66423213883316e-06
3,4.213051063156887e-06
4,3.6829179864822986e-06
5,4.26773556809453e-06
6,2.2198224869191285e-06
7,3.716109974851406e-06
8,3.154755452739965e-06
9,5.290499159602639e-06
10,5.060703610281441e-06
