Teste,Emissões de CO2 (kg)
1,2.615750275880608e-06
2,2.6243067752219118e-06
3,2.2445212360154205e-06
4,3.928748324041635e-06
5,2.756981281314018e-06
6,2.9224367325175075e-06
7,3.6441761678466635e-06
8,3.0217410006020887e-06
9,3.863555698318788e-06
10,3.3982900306131017e-06
